,location,BHK,total_sqft,bath,price
1633,Channasandra,2,1010.0,2.0,36.0
1634,Channasandra,2,1123.0,2.0,36.0
1635,Channasandra,2,1000.0,2.0,35.0
1636,Channasandra,4,1500.0,4.0,89.45
1637,Channasandra,3,1330.0,2.0,51.83
1638,Channasandra,2,1093.0,2.0,37.0
1639,Channasandra,2,1115.0,2.0,35.8
1640,Channasandra,3,1500.0,3.0,61.95
1642,Channasandra,2,830.0,2.0,36.28
1643,Channasandra,3,1200.0,3.0,67.77
1644,Channasandra,3,1195.0,2.0,56.0
1645,Channasandra,2,1175.0,2.0,38.0
1646,Channasandra,2,1200.0,2.0,46.13
1647,Channasandra,2,1065.0,2.0,36.0
1648,Channasandra,2,1050.0,2.0,44.41
1649,Channasandra,2,1010.0,2.0,32.0
1650,Chikka Tirupathi,4,2600.0,5.0,120.0
1651,Chikka Tirupathi,4,2325.0,4.0,120.0
1652,Chikka Tirupathi,3,1808.0,4.0,80.27
1653,Chikka Tirupathi,3,3297.0,3.0,135.0
1654,Chikka Tirupathi,4,3500.0,5.0,150.0
1655,Chikka Tirupathi,3,2646.0,3.0,99.0
1656,Chikka Tirupathi,4,2704.0,5.0,105.0
1657,Chikka Tirupathi,3,2325.0,3.0,95.0
1658,Chikka Tirupathi,4,2325.0,4.0,120.0
1659,Chikka Tirupathi,4,3250.0,4.0,136.0
1660,Chikka Tirupathi,4,2665.0,5.0,125.0
1661,Chikkabanavar,2,950.0,2.0,40.0
1662,Chikkabanavar,3,1600.0,2.0,80.0
1663,Chikkabanavar,2,600.0,1.0,25.0
1664,Chikkabanavar,4,2460.0,7.0,80.0
1665,Chikkabanavar,5,2400.0,4.0,97.0
1666,Chikkabanavar,5,2000.0,4.0,65.0
1667,Chikkabanavar,2,1067.0,2.0,38.0
1668,Chikkabanavar,3,1320.0,2.0,46.0
1669,Chikkabanavar,8,4000.0,7.0,110.0
1671,Chikkalasandra,2,1100.0,2.0,50.0
1672,Chikkalasandra,2,1208.0,2.0,49.0
1673,Chikkalasandra,2,875.0,2.0,52.8
1675,Chikkalasandra,2,1800.0,1.0,128.0
1676,Chikkalasandra,2,1070.0,2.0,50.0
1677,Chikkalasandra,2,1230.0,2.0,48.0
1678,Chikkalasandra,3,1428.0,2.0,80.0
1679,Chikkalasandra,2,1070.0,2.0,42.8
1683,Chikkalasandra,2,1075.0,2.0,46.76
1686,Chikkalasandra,2,1070.0,2.0,45.48
1687,Chikkalasandra,2,1100.0,2.0,50.0
1690,Chikkalasandra,2,1224.0,2.0,45.0
1691,Chikkalasandra,2,1090.0,2.0,47.42
1694,Chikkalasandra,2,1325.0,2.0,59.0
1695,Chikkalasandra,2,1290.0,2.0,72.0
1698,Choodasandra,2,1115.0,2.0,50.0
1699,Choodasandra,2,1300.0,2.0,57.0
1700,Choodasandra,3,1530.0,3.0,77.0
1703,Choodasandra,2,1197.0,2.0,63.0
1704,Choodasandra,3,1465.0,3.0,75.0
1705,Choodasandra,2,1115.0,2.0,50.0
1706,Choodasandra,2,1215.0,2.0,59.0
1707,Choodasandra,3,1254.0,2.0,65.0
1708,Choodasandra,3,1580.0,3.0,105.0
1709,Choodasandra,2,725.0,2.0,36.0
1710,Choodasandra,4,2429.0,3.0,210.0
1712,Choodasandra,2,1075.0,2.0,45.0
1713,Choodasandra,2,1180.0,2.0,71.22
1714,Choodasandra,2,1140.0,2.0,62.0
1716,Choodasandra,3,1560.0,3.0,78.0
1717,Choodasandra,2,1065.0,2.0,46.0
1718,Choodasandra,2,1115.0,2.0,50.0
1720,Choodasandra,2,1115.0,2.0,50.0
1721,Cooke Town,4,3950.0,4.0,450.0
1722,Cooke Town,3,2388.0,4.0,239.0
1723,Cooke Town,2,1710.0,2.0,200.0
1724,Cooke Town,2,1310.0,2.0,111.0
1725,Cooke Town,4,3900.0,5.0,415.0
1726,Cooke Town,3,2560.0,4.0,310.0
1727,Cooke Town,3,2600.0,3.0,375.0
1728,Cooke Town,2,1100.0,2.0,90.0
1729,Cooke Town,3,2300.0,3.0,250.0
1730,Cox Town,3,1975.0,3.0,150.0
1731,Cox Town,3,1650.0,3.0,100.0
1732,Cox Town,3,1730.0,3.0,140.0
1733,Cox Town,3,1600.0,3.0,150.0
1734,Cox Town,2,1250.0,2.0,95.0
1735,Cox Town,2,1280.0,2.0,120.0
1736,Cox Town,2,1073.0,2.0,72.0
1737,Cox Town,2,1000.0,2.0,58.0
1738,Cox Town,2,1200.0,2.0,140.0
1739,Cunningham Road,4,5270.0,4.0,1250.0
1740,Cunningham Road,3,3875.0,3.0,864.0
1741,Cunningham Road,3,3875.0,3.0,800.0
1742,Cunningham Road,3,3815.0,3.0,763.0
1743,Cunningham Road,3,2880.0,3.0,501.0
1744,Cunningham Road,3,3489.0,3.0,662.0
1745,Cunningham Road,3,4170.0,3.0,800.0
1747,Cunningham Road,3,2700.0,3.0,501.0
1748,Cunningham Road,4,7500.0,6.0,1800.0
1749,Cunningham Road,3,2880.0,3.0,560.0
1750,Dairy Circle,3,1855.0,3.0,225.0
1751,Dairy Circle,3,1980.0,3.0,224.0
1752,Dairy Circle,4,3730.0,6.0,450.0
1753,Dairy Circle,4,3754.0,6.0,430.0
1754,Dairy Circle,4,3754.0,6.0,480.0
1755,Dairy Circle,2,1541.0,2.0,181.0
1756,Dairy Circle,3,2735.0,4.0,340.0
1757,Dairy Circle,4,3730.0,6.0,430.0
1758,Dasanapura,2,708.0,2.0,37.0
1759,Dasanapura,2,708.0,1.0,40.0
1760,Dasanapura,2,965.0,2.0,42.5
1762,Dasanapura,2,814.0,2.0,42.0
1763,Dasanapura,2,1163.0,2.0,65.0
1764,Dasanapura,3,1286.0,2.0,68.0
1765,Dasanapura,2,708.0,2.0,31.15
1766,Dasanapura,1,708.0,1.0,41.0
1767,Dasanapura,2,814.0,2.0,43.7
1768,Dasarahalli,2,1295.0,2.0,65.0
1770,Dasarahalli,2,1150.0,2.0,70.0
1771,Dasarahalli,3,2100.0,3.0,120.0
1772,Dasarahalli,2,1220.0,2.0,52.0
1773,Dasarahalli,2,1375.0,2.0,60.0
1774,Dasarahalli,2,1333.0,2.0,78.56
1775,Dasarahalli,2,1220.0,2.0,62.0
1776,Devanahalli,4,3210.0,2.0,192.0
1777,Devanahalli,2,1260.0,2.0,66.78
1778,Devanahalli,3,1282.0,2.0,68.52
1779,Devanahalli,2,1360.0,2.0,65.0
1781,Devanahalli,2,1408.0,2.0,85.0
1782,Devanahalli,2,1010.0,2.0,51.0
1783,Devanahalli,2,1080.0,2.0,53.35
1784,Devanahalli,5,2400.0,5.0,100.0
1787,Devanahalli,2,1174.0,2.0,59.0
1788,Devanahalli,2,3752.5,2.0,177.115
1789,Devanahalli,1,658.0,1.0,34.0
1790,Devanahalli,1,658.0,1.0,26.91
1791,Devanahalli,1,698.5,1.0,28.57
1792,Devanahalli,2,1080.0,2.0,52.0
1793,Devanahalli,3,1700.0,3.0,88.2
1794,Devanahalli,3,1498.0,3.0,79.15
1795,Devanahalli,3,1466.0,3.0,77.59
1796,Devanahalli,1,775.0,1.0,39.0
1797,Devanahalli,1,1020.0,2.0,49.87
1799,Devanahalli,3,1550.0,3.0,85.0
1801,Devanahalli,2,1340.0,2.0,65.0
1802,Devanahalli,3,2125.0,3.0,107.0
1805,Devanahalli,1,658.0,1.0,26.91
1807,Devanahalli,2,1010.0,2.0,58.0
1810,Devanahalli,1,1075.0,2.0,52.57
1811,Dodda Nekkundi,2,1260.0,2.0,55.0
1812,Dodda Nekkundi,2,850.0,2.0,28.0
1813,Dodda Nekkundi,2,1390.0,2.0,60.0
1814,Dodda Nekkundi,3,1804.0,3.0,121.0
1815,Dodda Nekkundi,2,1080.0,2.0,50.0
1816,Dodda Nekkundi,3,1999.0,3.0,132.0
1817,Dodda Nekkundi,2,1100.0,2.0,48.0
1818,Dodda Nekkundi,3,1999.0,3.0,135.0
1819,Dodda Nekkundi,2,1100.0,2.0,41.15
1820,Dodda Nekkundi,3,1252.0,2.0,71.0
1821,Dodda Nekkundi,2,1155.0,2.0,46.0
1822,Dodda Nekkundi,2,1128.0,2.0,45.0
1823,Dodda Nekkundi,2,1148.0,2.0,56.0
1825,Dodda Nekkundi,2,1145.0,2.0,46.5
1826,Dodda Nekkundi,3,1829.0,3.0,125.0
1827,Dodda Nekkundi,2,1100.0,2.0,41.16
1828,Dodda Nekkundi,2,1100.0,2.0,46.75
1829,Dodda Nekkundi,2,1315.0,2.0,50.0
1830,Dodda Nekkundi,2,1135.0,2.0,58.0
1831,Dodda Nekkundi,2,1100.0,2.0,41.18
1832,Dodda Nekkundi,2,1370.0,2.0,60.0
1833,Dodda Nekkundi,2,1200.0,2.0,71.0
1834,Dodda Nekkundi,3,1585.0,2.0,79.0
1835,Dodda Nekkundi,2,1005.0,2.0,45.0
1836,Dodda Nekkundi,2,1264.0,2.0,52.0
1837,Doddaballapur,4,1690.0,3.0,80.0
1838,Doddaballapur,4,4200.0,4.0,325.0
1839,Doddaballapur,3,3876.0,3.0,300.0
1840,Doddaballapur,3,2776.0,4.0,195.0
1841,Doddaballapur,3,2440.0,3.0,142.0
1842,Doddaballapur,4,2400.0,3.0,200.0
1843,Doddaballapur,1,654.0,1.0,49.0
1844,Doddaballapur,4,3206.0,5.0,270.0
1845,Doddakallasandra,2,1010.0,2.0,40.39
1850,Doddakallasandra,2,1010.0,2.0,40.39
1851,Doddakallasandra,2,1072.0,2.0,42.87
1852,Doddakallasandra,2,1010.0,2.0,40.4
1853,Doddakallasandra,2,1010.0,2.0,41.0
1854,Doddakallasandra,2,1072.0,2.0,42.87
1855,Doddathoguru,2,970.0,2.0,33.0
1856,Doddathoguru,2,1050.0,2.0,32.0
1857,Doddathoguru,2,850.0,2.0,25.0
1858,Doddathoguru,2,1030.0,2.0,42.0
1859,Doddathoguru,3,1549.0,3.0,65.0
1861,Doddathoguru,1,550.0,1.0,17.0
1862,Doddathoguru,2,1015.0,2.0,33.5
1863,Doddathoguru,2,1104.0,2.0,39.0
1864,Doddathoguru,2,915.0,2.0,32.0
1865,Doddathoguru,1,750.0,1.0,25.5
1866,Doddathoguru,3,1595.0,3.0,62.0
1867,Doddathoguru,2,855.0,2.0,32.0
1868,Doddathoguru,2,1105.0,2.0,50.0
1869,Doddathoguru,2,925.0,2.0,30.0
1871,Doddathoguru,3,1208.0,3.0,45.0
1872,Doddathoguru,2,1100.0,2.0,50.0
1873,Doddathoguru,2,940.0,2.0,32.9
1874,Doddathoguru,3,1382.0,3.0,65.0
1875,Doddathoguru,2,1107.0,2.0,44.0
1876,Doddathoguru,2,907.0,2.0,40.0
1877,Doddathoguru,3,1783.0,3.0,85.0
1878,Doddathoguru,1,550.0,1.0,17.0
1879,Dodsworth Layout,4,30000.0,4.0,2100.0
1880,Dodsworth Layout,2,1400.0,2.0,80.0
1881,Dodsworth Layout,3,1717.0,3.0,99.0
1882,Dodsworth Layout,3,1594.0,3.0,99.0
1883,Dodsworth Layout,3,1893.0,3.0,115.0
1884,Dodsworth Layout,2,1400.0,2.0,85.0
1885,Dodsworth Layout,6,30400.0,4.0,1824.0
1886,Domlur,3,1540.0,3.0,90.0
1887,Domlur,3,1875.0,2.0,150.0
1888,Domlur,3,1429.0,3.0,86.0
1889,Domlur,1,640.0,1.0,55.0
1890,Domlur,2,1050.0,2.0,85.0
1891,Domlur,3,1800.0,3.0,150.0
1892,Domlur,3,1720.0,3.0,135.0
1893,Domlur,3,1950.0,3.0,165.0
1894,Domlur,3,2180.0,3.0,285.0
1895,Domlur,1,650.0,1.0,70.0
1896,Domlur,1,780.0,1.0,70.0
1897,Domlur,3,2180.0,3.0,285.0
1898,Domlur,3,1740.0,3.0,120.0
1899,Domlur,3,1695.0,3.0,125.0
1900,Domlur,2,1246.0,2.0,95.0
1901,Domlur,3,2100.0,3.0,145.0
1902,Domlur,2,1276.0,2.0,80.0
1903,Domlur,3,1850.0,3.0,180.0
1904,Domlur,3,2955.0,3.0,235.0
1905,Domlur,3,1650.0,3.0,180.0
1906,Dommasandra,2,805.0,2.0,22.14
1908,Dommasandra,3,1267.0,3.0,56.0
1909,Dommasandra,2,1200.0,2.0,50.0
1910,Dommasandra,4,2700.0,3.0,68.0
1912,Dommasandra,2,1153.0,2.0,43.5
1913,Dommasandra,2,1500.0,2.0,40.0
1914,Dommasandra,2,1090.0,2.0,43.5
1915,Dommasandra,2,850.0,2.0,25.4
1916,Dommasandra,2,674.0,1.0,19.9
1917,Dommasandra,2,999.0,2.0,32.9
1918,EPIP Zone,3,1499.0,5.0,102.0
1919,EPIP Zone,2,1285.0,2.0,82.0
1920,EPIP Zone,3,2330.0,3.0,162.0
1921,EPIP Zone,2,1330.0,2.0,92.5
1922,EPIP Zone,2,1330.0,2.0,86.98
1923,EPIP Zone,2,1330.0,2.0,93.36
1925,EPIP Zone,3,1500.0,3.0,102.0
1926,EPIP Zone,2,1280.0,2.0,69.0
1927,EPIP Zone,2,1125.0,2.0,65.0
1928,EPIP Zone,3,1734.0,3.0,125.0
1930,EPIP Zone,2,1343.0,2.0,86.0
1931,EPIP Zone,3,2350.0,4.0,163.0
1932,EPIP Zone,3,1860.0,3.0,130.0
1933,EPIP Zone,3,2210.0,3.0,165.0
1934,EPIP Zone,3,2710.0,3.0,177.0
1937,Electronic City,3,1025.0,2.0,47.0
1940,Electronic City,3,1500.0,2.0,64.5
1941,Electronic City,2,1060.0,2.0,60.0
1942,Electronic City,2,1152.0,2.0,64.5
1944,Electronic City,2,770.0,1.0,36.0
1945,Electronic City,2,1070.0,2.0,52.0
1946,Electronic City,2,1025.0,2.0,46.0
1947,Electronic City,1,589.0,1.0,27.0
1949,Electronic City,2,910.0,2.0,40.0
1950,Electronic City,2,1108.0,2.0,63.0
1951,Electronic City,2,1128.0,2.0,65.0
1952,Electronic City,3,1800.0,3.0,95.0
1953,Electronic City,1,630.0,1.0,34.65
1954,Electronic City,2,1128.0,2.0,63.0
1955,Electronic City,3,1599.0,3.0,99.0
1958,Electronic City,2,1070.0,2.0,55.0
1959,Electronic City,2,940.0,2.0,41.0
1961,Electronic City,2,1128.0,2.0,68.75
1962,Electronic City,2,1342.0,2.0,73.3
1963,Electronic City,3,1360.0,2.0,71.0
1965,Electronic City,2,1265.0,2.0,56.93
1966,Electronic City,3,1691.0,2.0,102.0
1967,Electronic City,2,1128.0,2.0,65.49
1970,Electronic City,2,1070.0,2.0,56.1
1971,Electronic City,4,2000.0,4.0,120.0
1972,Electronic City,2,890.0,2.0,45.0
1973,Electronic City,2,1128.0,2.0,65.65
1974,Electronic City,2,865.0,2.0,42.0
1976,Electronic City,2,910.0,2.0,42.0
1978,Electronic City,3,1360.0,2.0,75.0
1979,Electronic City,2,770.0,1.0,40.0
1980,Electronic City,2,1128.0,2.0,64.0
1981,Electronic City,2,1070.0,2.0,54.0
1983,Electronic City,3,1571.0,3.0,89.0
1984,Electronic City,3,1111.0,3.0,50.0
1985,Electronic City,2,870.0,2.0,39.5
1987,Electronic City,3,1374.0,2.0,72.0
1989,Electronic City,2,1128.0,2.0,65.35
1990,Electronic City,2,1128.0,2.0,65.0
1991,Electronic City,2,755.0,1.0,34.0
1995,Electronic City,3,1563.0,3.0,91.84
1996,Electronic City,3,1652.0,3.0,70.0
1998,Electronic City,2,1025.0,2.0,54.5
1999,Electronic City,2,1070.0,2.0,46.0
2000,Electronic City,3,1350.0,3.0,58.0
2003,Electronic City,3,1700.0,3.0,75.0
2005,Electronic City,2,1128.0,2.0,68.0
2006,Electronic City,1,700.0,1.0,35.0
2007,Electronic City,3,1360.0,2.0,70.5
2009,Electronic City,3,1571.0,3.0,105.0
2013,Electronic City,3,1600.0,3.0,104.0
2015,Electronic City,3,1500.0,2.0,100.0
2019,Electronic City,2,1152.0,2.0,65.0
2020,Electronic City,2,1070.0,2.0,60.0
2021,Electronic City,2,1128.0,2.0,65.5
2022,Electronic City,2,1200.0,2.0,59.0
2023,Electronic City,2,1152.0,2.0,65.75
2025,Electronic City,2,1070.0,2.0,55.0
2026,Electronic City,2,1060.0,2.0,58.0
2027,Electronic City,2,1025.0,2.0,54.1
2032,Electronic City,3,1500.0,2.0,78.0
2033,Electronic City,2,1213.0,2.0,59.32
2034,Electronic City,3,1575.0,3.0,90.0
2035,Electronic City,3,1449.0,3.0,100.0
2037,Electronic City,2,1125.0,2.0,58.0
2039,Electronic City,3,1575.0,3.0,101.0
2041,Electronic City,1,550.0,1.0,12.0
2042,Electronic City,2,919.0,2.0,40.0
2043,Electronic City,3,1500.0,2.0,78.25
2044,Electronic City,2,1363.0,2.0,79.0
2047,Electronic City,2,1108.0,2.0,67.15
2049,Electronic City,2,1128.0,2.0,65.7
2051,Electronic City,2,1060.0,2.0,51.0
2053,Electronic City,3,1650.0,3.0,100.0
2055,Electronic City,2,1025.0,2.0,49.0
2057,Electronic City,3,1449.0,3.0,90.0
2059,Electronic City,2,1070.0,2.0,58.0
2060,Electronic City,2,1210.0,2.0,54.0
2061,Electronic City,3,1500.0,2.0,75.0
2063,Electronic City,2,1070.0,2.0,52.0
2064,Electronic City,4,2435.0,4.0,119.0
2069,Electronic City,2,1073.0,2.0,60.0
2070,Electronic City,3,1500.0,2.0,78.0
2071,Electronic City,2,1070.0,2.0,47.0
2072,Electronic City,2,1296.0,2.0,65.0
2073,Electronic City,2,1140.0,2.0,70.93
2079,Electronic City,4,2093.0,4.0,104.0
2080,Electronic City,2,1025.0,2.0,53.9
2081,Electronic City,2,940.0,2.0,54.0
2082,Electronic City,1,435.0,1.0,21.0
2083,Electronic City,3,1500.0,2.0,77.5
2084,Electronic City,3,1631.0,3.0,80.0
2085,Electronic City,2,1355.0,2.0,67.0
2088,Electronic City,1,435.0,1.0,22.0
2090,Electronic City,2,1039.0,2.0,50.0
2091,Electronic City,2,770.0,1.0,39.9
2093,Electronic City,2,1128.0,2.0,64.0
2094,Electronic City,1,605.0,1.0,13.31
2096,Electronic City,1,530.0,1.0,13.5
2097,Electronic City,2,1070.0,2.0,53.0
2100,Electronic City,3,1571.0,3.0,83.0
2102,Electronic City,3,1350.0,3.0,66.0
2103,Electronic City,3,1652.0,3.0,110.0
2107,Electronic City,2,1128.0,2.0,65.58
2108,Electronic City,1,635.0,1.0,28.0
2109,Electronic City,2,1128.0,2.0,65.4
2112,Electronic City,2,1355.0,2.0,72.9
2116,Electronic City,2,770.0,1.0,35.0
2118,Electronic City,2,865.0,2.0,40.0
2121,Electronic City,2,1108.0,2.0,63.0
2122,Electronic City,1,630.0,1.0,40.5
2125,Electronic City,1,605.0,1.0,22.0
2127,Electronic City,2,1070.0,2.0,48.0
2129,Electronic City,3,1360.0,2.0,70.0
2130,Electronic City,1,635.0,1.0,28.0
2131,Electronic City,2,1128.0,2.0,65.45
2132,Electronic City,2,890.0,2.0,40.0
2137,Electronic City,3,1360.0,2.0,58.0
2140,Electronic City,1,630.0,1.0,33.7
2144,Electronic City,3,1400.0,3.0,90.0
2145,Electronic City,3,1287.0,3.0,55.0
2146,Electronic City,2,1258.0,2.0,85.5
2147,Electronic City,2,1386.0,2.0,85.0
2148,Electronic City,2,1025.0,2.0,50.0
2150,Electronic City,2,1070.0,2.0,55.0
2151,Electronic City,2,1342.0,2.0,72.0
2152,Electronic City,3,1275.0,3.0,70.0
2153,Electronic City,2,770.0,1.0,38.0
2158,Electronic City,3,1644.0,3.0,92.59
2159,Electronic City,2,1250.0,2.0,62.0
2162,Electronic City,1,418.0,1.0,12.0
2163,Electronic City,2,1128.0,2.0,64.8
2166,Electronic City,2,1060.0,2.0,55.0
2167,Electronic City,1,710.0,1.0,40.42
2170,Electronic City,3,1275.0,3.0,63.43
2171,Electronic City,3,1518.0,3.0,75.0
2172,Electronic City,1,1090.0,2.0,31.48
2175,Electronic City,2,1060.0,2.0,55.0
2177,Electronic City,2,1353.0,2.0,75.0
2179,Electronic City,2,1128.0,2.0,67.0
2180,Electronic City,2,1070.0,2.0,57.0
2181,Electronic City,3,1700.0,3.0,90.0
2183,Electronic City,1,750.0,1.0,35.0
2184,Electronic City,2,1210.0,2.0,55.0
2185,Electronic City,2,1070.0,2.0,60.0
2190,Electronic City,3,1615.0,3.0,97.0
2192,Electronic City,2,1221.0,2.0,68.0
2194,Electronic City,3,1500.0,3.0,73.0
2195,Electronic City,2,995.0,2.0,48.0
2196,Electronic City,2,1342.0,2.0,90.0
2198,Electronic City,2,1128.0,2.0,63.5
2199,Electronic City,1,589.0,1.0,29.0
2202,Electronic City,3,1575.0,3.0,94.5
2203,Electronic City,2,1070.0,2.0,48.0
2204,Electronic City,2,1025.0,2.0,54.0
2205,Electronic City,3,1500.0,2.0,70.0
2206,Electronic City,3,1500.0,2.0,64.5
2208,Electronic City,4,2093.0,4.0,134.0
2210,Electronic City,2,1355.0,2.0,73.0
2211,Electronic City,3,1360.0,2.0,64.99
2212,Electronic City,2,1060.0,2.0,52.0
2213,Electronic City Phase II,2,1056.0,2.0,39.07
2214,Electronic City Phase II,2,1020.0,2.0,30.6
2215,Electronic City Phase II,2,1069.0,2.0,45.0
2216,Electronic City Phase II,1,630.0,1.0,28.35
2218,Electronic City Phase II,2,1000.0,2.0,25.0
2219,Electronic City Phase II,2,1090.0,2.0,28.34
2220,Electronic City Phase II,4,2225.0,4.0,98.88
2222,Electronic City Phase II,2,775.0,2.0,38.0
2223,Electronic City Phase II,2,1266.0,2.0,59.0
2224,Electronic City Phase II,2,1000.0,2.0,28.88
2227,Electronic City Phase II,2,972.0,2.0,44.0
2229,Electronic City Phase II,2,1031.0,2.0,55.0
2230,Electronic City Phase II,2,1003.0,2.0,40.6
2231,Electronic City Phase II,2,1031.0,2.0,56.35
2233,Electronic City Phase II,3,1395.0,2.0,62.78
2234,Electronic City Phase II,2,1160.0,2.0,33.5
2235,Electronic City Phase II,2,1065.0,2.0,30.75
2236,Electronic City Phase II,2,1219.0,2.0,61.25
2238,Electronic City Phase II,2,1000.0,2.0,28.88
2239,Electronic City Phase II,3,1790.0,3.0,100.0
2240,Electronic City Phase II,2,769.0,2.0,40.0
2242,Electronic City Phase II,2,900.0,2.0,32.5
2245,Electronic City Phase II,3,993.0,2.0,50.0
2246,Electronic City Phase II,3,1418.0,3.0,52.47
2247,Electronic City Phase II,2,1070.0,2.0,45.0
2250,Electronic City Phase II,2,1140.0,2.0,33.06
2251,Electronic City Phase II,2,1089.0,2.0,32.67
2252,Electronic City Phase II,2,1031.0,2.0,55.0
2253,Electronic City Phase II,2,1253.0,2.0,65.8
2255,Electronic City Phase II,2,1160.0,2.0,33.5
2256,Electronic City Phase II,3,975.0,2.0,45.0
2257,Electronic City Phase II,4,6000.0,4.0,260.0
2258,Electronic City Phase II,2,1116.0,2.0,37.0
2259,Electronic City Phase II,2,1125.0,2.0,29.25
2260,Electronic City Phase II,2,1000.0,2.0,28.88
2261,Electronic City Phase II,2,1000.0,2.0,28.88
2262,Electronic City Phase II,2,1000.0,2.0,28.88
2263,Electronic City Phase II,2,1165.0,2.0,30.29
2264,Electronic City Phase II,4,3550.0,2.0,167.5
2265,Electronic City Phase II,2,1031.0,2.0,53.0
2267,Electronic City Phase II,2,1065.0,2.0,30.88
2269,Electronic City Phase II,3,1549.0,3.0,80.0
2270,Electronic City Phase II,2,1065.0,2.0,56.13
2272,Electronic City Phase II,2,920.0,2.0,26.0
2273,Electronic City Phase II,2,1140.0,2.0,33.84
2274,Electronic City Phase II,2,1219.0,2.0,61.26
2275,Electronic City Phase II,3,1252.0,2.0,65.0
2276,Electronic City Phase II,2,1125.0,2.0,32.49
2278,Electronic City Phase II,2,1286.0,2.0,69.0
2280,Electronic City Phase II,2,1140.0,2.0,32.92
2281,Electronic City Phase II,2,1116.0,2.0,40.0
2282,Electronic City Phase II,3,1150.0,3.0,46.0
2283,Electronic City Phase II,3,1192.0,2.0,47.0
2285,Electronic City Phase II,2,1020.0,2.0,32.0
2286,Electronic City Phase II,4,1900.0,3.0,97.0
2287,Electronic City Phase II,2,1020.0,2.0,27.43
2288,Electronic City Phase II,2,1025.0,2.0,26.65
2289,Electronic City Phase II,2,1020.0,2.0,29.45
2290,Electronic City Phase II,2,1000.0,2.0,28.88
2292,Electronic City Phase II,2,1140.0,2.0,28.5
2293,Electronic City Phase II,2,1125.0,2.0,32.49
2294,Electronic City Phase II,2,1200.0,2.0,34.65
2295,Electronic City Phase II,2,1160.0,2.0,52.2
2296,Electronic City Phase II,2,1244.0,2.0,55.0
2297,Electronic City Phase II,2,1160.0,2.0,33.51
2300,Electronic City Phase II,2,972.0,2.0,40.0
2301,Electronic City Phase II,2,1160.0,2.0,33.51
2303,Electronic City Phase II,2,1090.0,2.0,31.48
2304,Electronic City Phase II,2,1140.0,2.0,32.92
2305,Electronic City Phase II,1,650.0,1.0,35.0
2306,Electronic City Phase II,2,1155.0,2.0,57.0
2307,Electronic City Phase II,3,1800.0,3.0,92.0
2308,Electronic City Phase II,2,1300.0,2.0,28.0
2309,Electronic City Phase II,2,1160.0,2.0,33.5
2310,Electronic City Phase II,2,1025.0,2.0,29.6
2311,Electronic City Phase II,2,829.0,2.0,22.8
2312,Electronic City Phase II,4,2187.5,4.0,105.0
2313,Electronic City Phase II,2,1252.0,2.0,67.0
2315,Electronic City Phase II,2,1125.0,2.0,32.63
2316,Electronic City Phase II,2,1140.0,2.0,34.0
2319,Electronic City Phase II,3,1252.0,2.0,65.0
2320,Electronic City Phase II,2,1135.0,2.0,46.0
2321,Electronic City Phase II,3,1305.0,3.0,65.0
2322,Electronic City Phase II,2,1165.0,2.0,33.64
2324,Electronic City Phase II,3,1336.0,2.0,50.35
2325,Electronic City Phase II,1,575.0,1.0,16.75
2326,Electronic City Phase II,3,925.0,2.0,49.82
2327,Electronic City Phase II,2,1065.0,2.0,30.76
2328,Electronic City Phase II,2,1065.0,2.0,30.75
2329,Electronic City Phase II,2,1140.0,2.0,33.06
2330,Electronic City Phase II,2,911.0,2.0,26.5
2331,Electronic City Phase II,2,1200.0,2.0,34.65
2332,Electronic City Phase II,2,1031.0,2.0,54.48
2336,Electronics City Phase 1,3,1475.0,3.0,78.29
2337,Electronics City Phase 1,3,1490.0,3.0,78.8
2338,Electronics City Phase 1,2,1113.27,2.0,53.0
2339,Electronics City Phase 1,3,1490.0,3.0,84.0
2346,Electronics City Phase 1,2,1015.0,2.0,56.0
2348,Electronics City Phase 1,3,1515.0,2.0,80.91
2349,Electronics City Phase 1,2,995.0,2.0,46.0
2350,Electronics City Phase 1,3,1555.0,2.0,82.0
2351,Electronics City Phase 1,2,1340.0,2.0,75.0
2352,Electronics City Phase 1,3,1124.0,2.0,55.0
2353,Electronics City Phase 1,2,1175.0,2.0,57.0
2354,Electronics City Phase 1,1,755.0,1.0,42.41
2355,Electronics City Phase 1,1,580.0,1.0,27.0
2356,Electronics City Phase 1,2,940.0,2.0,49.0
2357,Electronics City Phase 1,2,1335.0,2.0,67.0
2358,Electronics City Phase 1,2,1113.12,2.0,55.0
2360,Electronics City Phase 1,3,1350.0,3.0,71.0
2362,Electronics City Phase 1,2,995.0,2.0,49.8
2363,Electronics City Phase 1,1,635.0,1.0,26.0
2364,Electronics City Phase 1,2,1190.0,2.0,68.0
2366,Electronics City Phase 1,3,1450.0,3.0,72.54
2367,Electronics City Phase 1,1,360.0,1.0,16.9
2368,Electronics City Phase 1,1,638.0,1.0,32.0
2369,Electronics City Phase 1,2,1175.0,2.0,64.98
2370,Electronics City Phase 1,1,585.0,1.0,21.0
2371,Electronics City Phase 1,2,1200.0,2.0,59.76
2372,Electronics City Phase 1,2,1145.0,2.0,54.0
2373,Electronics City Phase 1,2,1125.0,2.0,65.0
2375,Electronics City Phase 1,3,1550.0,2.0,82.0
2377,Electronics City Phase 1,2,865.0,2.0,40.0
2381,Electronics City Phase 1,3,1800.0,3.0,93.0
